City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,krasnyy chikoy,50.3643,108.7512,13.45,95,43,1.79,RU,1718821763
83,wailua homesteads,22.0669,-159.378,27.24,85,100,9.77,US,1718821763
84,vorgashor,67.5833,63.95,0.53,86,6,2.61,RU,1718821763
85,itoman,26.1247,127.6694,28.21,96,75,5.66,JP,1718821764
86,bredasdorp,-34.5322,20.0403,11.28,77,15,0.82,ZA,1718821764
87,sovetskaya gavan',48.9723,140.2878,9.49,99,100,1.77,RU,1718821764
88,portland,45.5234,-122.6762,24.7,56,20,3.6,US,1718821016
89,blackmans bay,-43.0167,147.3167,7.63,92,95,0.45,AU,1718821765
90,hermanus,-34.4187,19.2345,13.73,74,16,1.36,ZA,1718821765
91,yellowknife,62.456,-114.3525,16.9,47,75,6.17,CA,1718821567
92,ushuaia,-54.8,-68.3,-0.19,74,75,6.17,AR,1718821577
93,nar'yan-mar,67.6713,53.087,9.97,53,94,6.07,RU,1718821766
94,sorong,-0.8833,131.25,25.16,91,100,3.25,ID,1718821766
95,dudinka,69.4058,86.1778,2.17,64,87,3.59,RU,1718821766
96,buckeye,33.3703,-112.5838,36.96,19,0,2.39,US,1718821766
97,iskateley,67.6803,53.1512,9.79,54,94,6.12,RU,1718821766
98,dawei,14.0833,98.2,25.37,92,70,0.82,MM,1718821767
99,bukama,-9.2,25.85,23.08,36,35,0.67,CD,1718821767
100,shache,38.4167,77.2406,26.29,27,95,3.03,CN,1718821767
101,keflavik,64.0049,-22.5624,8.95,93,75,3.09,IS,1718821767
102,minas de marcona,-15.2119,-75.1103,17.67,55,20,6.48,PE,1718821768
103,zhangye,38.9342,100.4517,18.59,55,100,4.85,CN,1718821768
104,maumere,-8.6199,122.2111,24.02,76,52,2.57,ID,1718821768
105,la rinconada,37.4873,-5.9826,22.25,58,40,6.69,ES,1718821768
106,olonkinbyen,70.9221,-8.7187,0.95,99,100,5.17,SJ,1718821769
107,constantia,44.1833,28.65,23.38,66,0,4.07,RO,1718821599
108,isafjordur,66.0755,-23.124,4.32,68,100,3.53,IS,1718821769
109,port alfred,-33.5906,26.891,15.01,80,54,6.55,ZA,1718821770
110,avarua,-21.2078,-159.775,19.03,88,65,1.54,CK,1718821770
111,carnarvon,-24.8667,113.6333,16.72,55,0,9.4,AU,1718821770
112,lihue,21.9789,-159.3672,27.58,85,100,9.77,US,1718821770
113,ayorou,14.7308,0.9174,33.66,36,80,11.6,NE,1718821771
114,babolsar,36.7025,52.6576,26.18,72,52,2.45,IR,1718821771
115,st. john's,47.5649,-52.7093,23.49,67,75,3.6,CA,1718821513
116,zanjan,36.6736,48.4787,19.16,75,8,3.84,IR,1718821771
117,talnakh,69.4865,88.3972,2.92,53,100,1.58,RU,1718821772
118,tsiombe,-25.3,45.4833,20.09,79,0,1.25,MG,1718821772
119,calp,38.6447,0.0445,29.12,76,97,3.25,ES,1718821772
120,hell-ville,-13.4,48.2667,26.38,72,2,1.45,MG,1718821772
121,hammerfest,70.6634,23.6821,13.25,82,75,9.26,NO,1718821772
122,port lincoln,-34.7333,135.8667,12.22,74,69,9.79,AU,1718821773
123,cill airne,52.05,-9.5167,14.03,67,0,4.12,IE,1718821773
124,kamien pomorski,53.9685,14.7726,17.2,72,78,7.02,PL,1718821773
125,sidi amrane,33.4989,6.008,42.24,10,20,7.09,DZ,1718821774
126,zarqa,32.0728,36.088,31.95,42,0,1.54,JO,1718821774
127,kulhudhuffushi,6.6221,73.07,28.71,80,100,6.57,MV,1718821774
128,boyolangu,-8.1181,111.8935,23.38,88,100,1.2,ID,1718821774
129,havre,49.5833,0.3333,18.52,77,0,7.2,FR,1718821776
130,puerto leguizamo,-0.1934,-74.7819,26.5,97,82,1.59,CO,1718821776
131,george town,5.4112,100.3354,27.75,89,40,1.54,MY,1718821776
132,yuzhno-kurilsk,44.0306,145.8556,9.55,89,25,0.57,RU,1718821776
133,at taj,24.2049,23.2857,33.95,14,0,4.57,LY,1718821776
134,tipton,52.5296,-2.0677,18.77,60,100,0.89,GB,1718821777
135,bamboo flat,11.7,92.7167,26.05,94,40,2.57,IN,1718821777
136,ometepec,16.6833,-98.4167,30.75,52,95,2.71,MX,1718821777
137,labrador city,52.9463,-66.9114,32.32,37,75,10.28,CA,1718821509
138,mandaguari,-23.5475,-51.6708,27.6,25,2,3.41,BR,1718821536
139,komlo,46.1928,18.2649,28.69,63,9,2.7,HU,1718821566
140,kodiak,57.79,-152.4072,7.73,100,100,4.63,US,1718821778
141,lauro de freitas,-12.8944,-38.3272,28.01,65,20,6.17,BR,1718821779
142,la'ie,21.6477,-157.9253,25.98,76,52,3.58,US,1718821779
143,kupang,-10.1667,123.5833,23.32,94,3,2.06,ID,1718821779
144,qaqortoq,60.7167,-46.0333,4.81,85,100,4.39,GL,1718821750
145,invercargill,-46.4,168.35,3.9,83,100,1.34,NZ,1718821780
146,derbent,42.0678,48.2899,25.65,73,95,1.29,RU,1718821780
147,allanridge,-27.7543,26.6438,10.95,25,0,2.78,ZA,1718821780
148,kapuskasing,49.4169,-82.4331,28.05,61,75,7.2,CA,1718821780
149,midvagur,62.0511,-7.1939,10.46,87,100,10.8,FO,1718821781
150,taltal,-25.4,-70.4833,17.87,65,0,2.85,CL,1718821781
151,penzance,50.1186,-5.5371,17.38,84,97,0.84,GB,1718821781
152,kerikeri,-35.2268,173.9474,12.73,95,100,2.24,NZ,1718821781
153,carmelo,-33.9892,-58.2856,16.95,75,85,4.04,UY,1718821714
154,east grand forks,47.93,-97.0245,19.13,50,20,2.57,US,1718821782
155,jamestown,42.097,-79.2353,30.77,74,0,3.6,US,1718821737
156,sungailiat,-1.85,106.1333,26.94,83,89,3.9,ID,1718821782
157,smithers,54.7804,-127.1743,17.18,63,20,1.54,CA,1718821782
158,mainit,9.535,125.5231,23.69,86,92,1.91,PH,1718821783
159,miyaly,48.8844,53.7836,26.16,57,51,4.08,KZ,1718821783
160,chonchi,-42.6128,-73.8092,6.73,79,91,1.75,CL,1718821783
161,wakkanai,45.4094,141.6739,13.12,92,72,6.63,JP,1718821783
162,dazkiri,37.9186,29.8606,26.9,82,62,5.6,TR,1718821783
163,tarfaya,27.9358,-12.9218,20.03,77,0,9.67,MA,1718821784
164,tulsipur,28.131,82.2973,30.24,47,42,3.25,NP,1718821784
165,camayenne,9.535,-13.6878,30.05,74,20,5.14,GN,1718821784
166,fale old settlement,-9.3852,-171.2468,28.81,77,42,7.23,TK,1718821785
167,bathsheba,13.2167,-59.5167,31.34,70,20,8.75,BB,1718821785
168,port mathurin,-19.6833,63.4167,23.96,65,20,9.9,MU,1718821785
169,tindouf,27.6711,-8.1474,35.25,13,0,9.26,DZ,1718821786
170,santo antonio do ica,-3.1022,-67.9397,33.89,45,66,1.8,BR,1718821786
171,sisimiut,66.9395,-53.6735,5.4,81,94,3.37,GL,1718821786
172,fort mcmurray,56.7268,-111.381,19.73,39,75,7.2,CA,1718821786
173,bac lieu,9.285,105.7244,28.56,76,100,4.0,VN,1718821787
174,al mayadin,35.0209,40.4535,40.25,9,0,3.26,SY,1718821787
175,san antonio de pale,-1.4014,5.6325,24.53,90,100,5.3,GQ,1718821787
176,lukolela,-1.0605,17.1821,25.93,58,58,0.91,CD,1718821788
177,buka,40.8108,69.1986,27.43,30,1,1.71,UZ,1718821788
178,fort bragg,35.139,-79.006,31.82,45,75,4.12,US,1718821610
179,remire-montjoly,4.9167,-52.2667,31.02,66,75,4.12,GF,1718821788
180,achacachi,-16.05,-68.6833,10.03,34,86,3.75,BO,1718821789
181,xichang,27.8964,102.2634,19.94,94,91,0.26,CN,1718821789
182,ar rutbah,33.0381,40.2848,38.33,9,50,1.05,IQ,1718821789
183,mukalla,14.5425,49.1242,31.05,67,27,4.65,YE,1718821567
184,happy valley-goose bay,53.3168,-60.3315,27.17,47,40,4.63,CA,1718821790
185,la passe,45.5549,-0.8967,23.13,80,37,3.55,FR,1718821790
186,klyuchi,52.2667,79.1667,16.33,49,88,2.23,RU,1718821790
187,oltinko'l,40.8011,72.1634,30.26,23,0,1.45,UZ,1718821790
188,pacific grove,36.6177,-121.9166,21.01,79,0,3.6,US,1718821791
189,taoudenni,22.6783,-3.9836,46.13,7,52,3.23,ML,1718821791
190,shangrao,28.4532,117.9686,23.89,97,100,0.67,CN,1718821791
191,turan,16.0678,108.2208,25.99,89,20,2.06,VN,1718821791
192,yasuj,30.6682,51.588,26.75,24,40,5.14,IR,1718821792
193,rongelap,11.1635,166.8941,28.03,80,7,7.41,MH,1718821792
194,paita,-5.0892,-81.1144,22.32,68,41,5.93,PE,1718821792
195,bucerias,20.75,-105.3333,30.55,78,100,3.23,MX,1718821792
196,acarau,-2.8856,-40.12,28.94,71,44,6.2,BR,1718821793
197,sanctuary point,-35.1114,150.629,6.85,76,1,2.67,AU,1718821793
198,vadso,70.0744,29.7487,8.49,93,75,12.86,NO,1718821793
199,qamdo,31.1667,97.2333,9.31,66,99,2.11,CN,1718821793
200,igarka,67.4667,86.5833,0.48,72,86,2.91,RU,1718821794
201,utrik,11.2278,169.8474,27.87,80,14,8.05,MH,1718821794
202,nago,26.5881,127.9761,28.24,94,48,3.2,JP,1718821794
203,cidade velha,14.9167,-23.6167,27.26,74,75,4.63,CV,1718821794
204,selfoss,63.9331,-20.9971,9.47,83,100,3.46,IS,1718821794
205,aasiaat,68.7098,-52.8699,2.88,90,74,2.92,GL,1718821795
206,poland,44.0606,-70.3937,36.44,60,43,2.24,US,1718821795
207,limulunga,-15.0969,23.1376,16.68,32,0,0.71,ZM,1718821795
208,segovia,41.1667,-4.0,21.91,45,90,4.62,ES,1718821681
209,komadi,47.0,21.5,30.31,49,69,3.58,HU,1718821796
210,konarka,19.9,86.1167,30.22,85,100,5.67,IN,1718821796
211,ribeira brava,32.65,-17.0667,22.78,67,41,0.17,PT,1718821796
212,tortoli,39.9256,9.6572,35.54,83,20,4.12,IT,1718821797
213,velingara,13.15,-14.1167,34.27,45,94,1.64,SN,1718821797
214,saipan,15.1355,145.701,27.39,83,40,5.14,MP,1718821797
215,hasaki,35.7333,140.8333,17.38,85,1,2.66,JP,1718821797
216,lompoc,34.6391,-120.4579,25.38,74,0,4.63,US,1718821797
217,kavaratti,10.5669,72.642,28.55,83,100,6.15,IN,1718821798
218,saldanha,-33.0117,17.9442,12.03,75,22,3.86,ZA,1718821798
219,bowen,-20.0167,148.2333,14.77,65,0,2.66,AU,1718821798
